2022-01-06 14:40:17.201 -03 [15456] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:17.201 -03 [15456] DETALLE:  La fila que falla contiene (4, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:40:16.917071, 2022-01-06 17:40:16.917071, null, null, null, 2022-01-06 17:40:17, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:40:17.201 -03 [15456] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:40:17', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:40:25.682 -03 [17416] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:25.682 -03 [17416] DETALLE:  La fila que falla contiene (5, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:40:25.530945, 2022-01-06 17:40:25.530945, null, null, null, 2022-01-06 17:40:25, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:40:25.682 -03 [17416] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:40:25', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:40:49.829 -03 [15456] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:49.829 -03 [15456] DETALLE:  La fila que falla contiene (6, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:40:49.685696, 2022-01-06 17:40:49.685696, null, null, null, 2022-01-06 17:40:49, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:40:49.829 -03 [15456] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:40:49', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:40:52.651 -03 [17996] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:52.651 -03 [17996] DETALLE:  La fila que falla contiene (7, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:40:52.474585, 2022-01-06 17:40:52.474585, null, null, null, 2022-01-06 17:40:52, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
